RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470200,2,2,3,2,2,2,1,2,2,2,1,2,2,1,70,1,4,2,3,2
470201,4,4,1,1,1,4,1,1,1,4,1,1,1,1,52,2,4,2,1,3
470205,4,1,3,3,2,3,2,2,1,3,2,3,1,2,57,3,1,2,3,2
470206,3,4,1,1,3,4,3,3,3,4,3,2,1,1,50,1,4,2,2,1
470207,1,1,4,2,1,1,1,2,2,2,1,2,1,5,30,3,4,1,3,1
470208,3,4,4,1,2,3,1,1,1,1,1,1,1,1,60,3,4,1,3,1
480222,2,2,3,2,2,2,2,2,2,2,2,2,1,5,62,2,4,1,1,3
470212,3,4,1,1,4,3,1,1,1,2,3,3,1,1,62,3,4,1,1,1
470213,4,4,2,1,2,4,1,1,1,3,2,1,1,1,67,2,4,2,3,2
470214,2,4,2,2,2,2,2,2,2,4,2,2,1,1,54,2,4,2,3,2
470215,1,3,3,4,2,2,1,1,1,4,1,1,1,2,68,2,4,2,4,2
480230,1,1,3,1,1,2,2,2,2,3,3,2,1,3,62,3,1,2,3,2
470216,3,1,1,1,4,3,2,1,2,1,1,1,1,1,78,3,4,1,2,1
470217,2,4,2,2,3,4,2,2,2,1,3,2,2,1,65,3,4,2,3,1
470218,2,2,4,1,1,2,4,4,4,4,4,4,1,5,36,2,4,1,1,3
470219,1,2,3,4,2,1,1,2,4,3,2,2,1,2,79,3,4,1,4,2
470220,1,1,3,4,3,2,1,2,2,1,1,1,1,2,66,1,4,2,4,2
470222,2,3,4,3,2,2,1,2,2,2,1,2,1,3,58,1,4,1,1,2
470225,1,1,3,4,1,1,1,1,2,4,3,3,1,5,66,3,1,1,1,2
470228,2,2,4,3,1,1,1,2,2,1,2,2,1,2,60,3,4,1,1,2
470229,2,4,1,1,1,2,3,2,3,4,4,1,1,1,73,2,4,1,1,1
470230,2,4,3,2,1,2,3,1,2,2,3,1,1,3,64,3,4,2,3,1
470232,4,4,1,1,1,4,1,1,3,1,1,2,2,3,60,1,4,2,4,3
470233,4,4,1,1,2,3,1,1,2,4,2,2,1,1,50,3,4,2,4,3
470235,2,3,2,1,1,3,2,2,2,3,3,2,1,5,31,3,3,1,3,2
470237,2,2,2,2,2,2,3,3,3,3,3,2,2,1,56,2,4,1,1,3
470238,3,3,3,3,3,3,3,3,3,3,3,3,1,3,53,2,4,1,1,3
470239,2,2,4,2,3,1,2,2,2,1,2,1,1,5,44,1,3,1,4,2
470241,2,2,2,2,2,2,4,4,4,4,4,4,2,1,43,3,4,1,1,3
470242,3,4,2,1,2,3,1,2,3,4,2,1,1,3,54,3,4,2,3,1
470243,2,2,3,2,1,2,1,1,2,3,3,2,1,2,78,2,4,1,1,1
470246,2,3,3,2,2,1,4,3,3,4,4,2,1,5,65,3,2,1,1,2
470247,1,2,4,4,3,4,1,1,1,1,1,1,1,5,68,3,4,2,2,1
470248,1,3,1,1,1,4,4,4,4,4,4,4,1,1,50,2,3,1,3,2
470250,1,1,4,4,1,1,2,2,1,3,4,1,1,2,83,1,1,1,1,1
470251,2,3,1,1,2,3,2,4,4,4,4,2,1,1,60,2,4,1,1,2
470255,4,4,1,1,3,3,1,1,2,1,2,1,1,1,58,3,2,1,3,2
480273,2,2,3,1,2,3,2,2,1,1,1,2,1,1,87,2,4,1,2,1
470256,3,3,3,2,3,1,3,3,2,3,3,2,1,3,42,3,4,1,4,1
470257,1,1,4,4,2,1,1,1,1,1,1,1,1,3,73,1,4,1,3,1
470259,2,4,3,1,2,2,1,1,1,2,2,2,1,1,82,1,4,2,3,1
470260,2,3,2,3,2,3,2,2,3,3,2,3,2,2,47,2,4,2,2,2
470262,4,4,1,1,1,3,2,2,2,1,2,4,1,3,52,1,4,2,3,1
470266,1,2,4,2,2,1,1,1,1,1,1,1,1,2,60,1,4,1,4,1
470267,2,3,3,1,1,1,3,2,3,2,3,3,1,3,35,1,4,1,3,2
470268,4,4,1,1,1,3,1,4,4,4,4,1,1,1,65,2,2,1,1,2
470270,2,3,2,1,2,3,1,2,2,2,2,1,1,2,73,1,4,1,3,1
